'E(TeV)','E2dndE(ergscm-2s-1)'
0.16039796541782222, 3.59648185444137e-11
0.16991875666576065, 3.140750205664231e-11
0.18000887616774527, 2.7106410393038774e-11
0.19069794491899666, 2.3408116339384087e-11
0.20297214491501778, 2.023931804237897e-11
0.21524554878001678, 1.7632129120087318e-11
0.2268573444094775, 1.5544696137744512e-11
0.24016560597493927, 1.3694526363406477e-11
0.2556210621106913, 1.190425696021449e-11
0.26969746587462834, 1.0393323476916415e-11
0.2868632553815704, 9.148907481562037e-12
0.30637527029602785, 7.848608235388478e-12
0.33305923002054433, 6.836279818258566e-12
0.35998420649603957, 5.957402374341275e-12
0.3937269295166028, 5.279452853677561e-12
0.43719566416047906, 4.6158972243193145e-12
0.47936635091994645, 4.060782447696528e-12
0.5190164349509877, 3.549351535654087e-12
0.5536060069508549, 3.1500831405807563e-12
0.600084696926689, 2.7543922023459097e-12
0.6498823844420338, 2.4254597261282205e-12
0.7297643887876198, 2.1279497496098974e-12
0.8094029101591044, 1.860738901081244e-12
0.8925842017765098, 1.6366957767432553e-12
0.9786804096422625, 1.4398642689446236e-12
1.0730812200251891, 1.2667040157632462e-12
1.1833703608941084, 1.1094555282817103e-12
1.3276062623984126, 9.914405031823399e-13
1.506598597506694, 8.916911535527295e-13
1.7097105883370474, 8.049897806263167e-13
1.940157785044783, 7.357254408206773e-13
2.2016476479663916, 6.753079705170001e-13
2.4983513495759007, 6.235143210199811e-13
2.834925897783587, 5.875289771018725e-13
3.2168330840671446, 5.545106730027504e-13
3.6501850453321807, 5.236283058711114e-13
4.141810098180636, 5.008623715584611e-13
4.699639687192916, 4.795996633275806e-13
5.332593538357398, 4.594856159024393e-13
6.050736721831543, 4.4234207728200885e-13
6.865148503423925, 4.399794418674001e-13
7.789095167795643, 4.399794418674001e-13
8.837391281881064, 4.399794418674001e-13
10.02677242819849, 4.399794418674001e-13
11.376226549231395, 4.399794418674001e-13
12.907297081508599, 4.399794418674001e-13
14.644535600024756, 4.383331095763674e-13
16.616740552754887, 4.217528462937303e-13
18.75777826406409, 3.9128739820789e-13
20.0900010071903, 3.426977319463143e-13
21.427233745004724, 3.000079592204822e-13
23.038574574301965, 2.6270547609677754e-13
24.752911200528807, 2.314003067281249e-13
26.795446022585054, 2.0276616428690012e-13
28.879444755588608, 1.7551463121636082e-13
30.947214161832754, 1.5237383346570233e-13
33.48116674680336, 1.335236973124682e-13
37.85186664193369, 1.173045801452839e-13
42.466858747871036, 1.031062030291009e-13
47.644244075212235, 9.08937133022588e-14
53.76032809268375, 8.02608800894736e-14
61.00918777866429, 7.176178999908514e-14
69.23457795334978, 6.457637331041195e-14
78.56418373987779, 5.991167889056673e-14
89.15004167176495, 5.5882419036319766e-14
101.16064502402976, 5.2544553774377845e-14
114.77998547023944, 5.1486030234192594e-14
130.23111343029964, 5.0801289450136317e-14
147.7609440963177, 5.034087489933922e-14
167.6473648130901, 5.034087489933922e-14
190.21020135369946, 5.034087489933922e-14
215.80737075329972, 5.061119919752614e-14
244.82923649151815, 5.302512303685588e-14
277.7498511358315, 5.5972274864436577e-14
315.0937477710021, 5.940049992120048e-14
357.43849813164, 6.485363839880478e-14
405.47257562695756, 7.092124518681288e-14
457.3221960516517, 7.816950920874677e-14
509.88667242113155, 8.862015135976092e-14
569.1451675240612, 1.0052716504368105e-13
628.1571629708718, 1.127362720345106e-13
675.8671901492262, 1.2926187282619643e-13
727.0729099815976, 1.4722652788273565e-13
777.8886827554168, 1.6896613055699122e-13
824.482258224213, 1.9320401646111965e-13
868.5192101792736, 2.2012619485801052e-13
913.7377133688299, 2.5140801067848044e-13
963.4071900419449, 2.9067665359136706e-13

