atten_LIV_lambda_1,atten_LIV_lambda_2,atten_LIV_lambda_3,atten_LIV_lambda_4,energy
0.9655104533853539,0.9655104533812929,0.9655104533778941,0.9655104533768788,100000000000.0
0.964682135077496,0.9646821350732243,0.9646821350696491,0.9646821350685811,100763752923.86931
0.9638364507200192,0.9638364507155299,0.9638364507117725,0.9638364507106502,101533339033.02539
0.9629758756995747,0.962975875694855,0.9629758756909048,0.9629758756897249,102308802878.59225
0.9620973270058794,0.9620973270009174,0.9620973269967645,0.9620973269955241,103090189351.95276
0.9612035791365002,0.9612035791312807,0.9612035791269122,0.9612035791256074,103877543687.35071
0.9602901170202971,0.9602901170148058,0.9602901170102099,0.9602901170088372,104670911464.50603
0.9593592422505517,0.9593592422447864,0.9593592422399612,0.9593592422385199,105470338611.25685
0.9584152219007973,0.9584152218947436,0.958415221889677,0.9584152218881635,106275871406.21475
0.9574536537779752,0.9574536537716143,0.9574536537662904,0.9574536537647003,107087556481.4473
0.9564745682200977,0.9564745682134158,0.9564745682078234,0.956474568206153,107905440825.17455
0.9554775282482753,0.9554775282412532,0.9554775282353761,0.9554775282336205,108729571784.49043
0.9544626172203841,0.9544626172130073,0.9544626172068331,0.9544626172049889,109559997068.10506
0.9534298636183245,0.9534298636105857,0.9534298636041086,0.953429863602174,110396764749.10338
0.9523796223346992,0.9523796223265709,0.9523796223197678,0.9523796223177357,111239923267.73178
0.9513123672023676,0.951312367193837,0.9513123671866974,0.9513123671845648,112089521434.1986
0.9502270661334259,0.9502270661244726,0.9502270661169792,0.950227066114741,112945608431.5034
0.9491229371610992,0.949122937151704,0.9491229371438407,0.9491229371414919,113808233818.28052
0.9480012342904162,0.9480012342805579,0.948001234272307,0.9480012342698424,114677447531.67165
0.9468601595760651,0.9468601595657182,0.9468601595570585,0.9468601595544718,115553299890.21301
0.9457006010114649,0.9457006010006171,0.9457006009915381,0.9457006009888261,116435841596.75198
0.9445226776259885,0.9445226776146161,0.9445226776050978,0.9445226776022547,117325123741.379
0.9433242760632881,0.9433242760513597,0.9433242760413763,0.9433242760383941,118221197804.38658
0.9421071699833948,0.9421071699708853,0.9421071699604152,0.9421071699572878,119124115659.2509
0.9408710498176596,0.9408710498045492,0.9408710497935764,0.9408710497902988,120033929575.6314
0.939612595590249,0.9396125955764948,0.9396125955649831,0.9396125955615446,120950692222.4005
0.9383360569548929,0.93833605694048,0.938336056928417,0.9383360569248138,121874456670.68875
0.9370407364128828,0.9370407363977832,0.9370407363851455,0.9370407363813706,122805276396.96097
0.9357267764592085,0.9357267764433922,0.9357267764301546,0.9357267764262005,123743205286.10803
0.9343922158950073,0.9343922158784334,0.9343922158645617,0.9343922158604182,124688297634.57028
0.9330369628653469,0.9330369628479664,0.9330369628334196,0.9330369628290746,125640608153.47717
0.9316603049047307,0.9316603048865238,0.9316603048712856,0.9316603048667339,126600191971.81601
0.9302615622879187,0.9302615622688629,0.930261562252914,0.9302615622481502,127567104639.62491
0.9288416191886861,0.9288416191687388,0.9288416191520437,0.9288416191470569,128541402131.20494
0.9274018740055692,0.9274018739846718,0.9274018739671814,0.9274018739619571,129523140848.36462
0.9259423460954636,0.9259423460735953,0.9259423460552925,0.9259423460498253,130512377623.68083
0.924461582071914,0.9244615820490141,0.9244615820298479,0.9244615820241229,131509169723.79305
0.9229598339321542,0.9229598339081914,0.9229598338881354,0.9229598338821448,132513574852.71422
0.9214369070096913,0.921436906984615,0.9214369069636273,0.9214369069573582,133525651155.17557
0.919893292644964,0.9198932926187333,0.9198932925967793,0.9198932925902217,134545457219.98819
0.9183289743790468,0.9183289743516003,0.9183289743286287,0.9183289743217671,135573052083.43918
0.9167429152980193,0.9167429152692943,0.9167429152452528,0.9167429152380715,136608495232.7053
0.9151354351213612,0.9151354350913269,0.9151354350661893,0.9151354350586808,137651846609.2984
0.9135071368281446,0.9135071367967443,0.9135071367704637,0.9135071367626136,138703166612.537
0.9118571203881622,0.9118571203553388,0.9118571203278671,0.9118571203196613,139762516103.039
0.9101870685873424,0.9101870685530322,0.910187068524316,0.9101870685157384,140829956406.24927
0.9084973830291333,0.9084973829932509,0.9084973829632189,0.9084973829542483,141905549315.9853
0.9067874440781074,0.9067874440406072,0.9067874440092212,0.9067874439998461,142989357098.01892
0.9050552479747127,0.905055247935532,0.9050552479027396,0.9050552478929446,144081442493.67636
0.9033014672923371,0.9033014672513832,0.9033014672171066,0.9033014672068681,145181868723.47488
0.901526692289893,0.9015266922471367,0.9015266922113514,0.9015266922006624,146290699490.77853
0.8997302900717024,0.8997302900270283,0.8997302899896381,0.8997302899784696,147407998985.4876
0.8979120841502287,0.8979120841035757,0.8979120840645292,0.8979120840528659,148533831887.7565
0.8960726617422398,0.896072661693532,0.8960726616527657,0.8960726616405887,149668263371.73376
0.8942127077317299,0.8942127076808724,0.8942127076383067,0.8942127076255922,150811359109.33978
0.8923321761769116,0.8923321761237789,0.892332176079309,0.8923321760660259,151963185274.06378
0.8904297274722456,0.8904297274168143,0.8904297273704206,0.8904297273565627,153123808544.79938
0.888505681859146,0.888505681801306,0.8885056817528963,0.8885056817384364,154293296109.69968
0.886560089704704,0.8865600896443112,0.8865600895937651,0.8865600895786669,155471715670.07184
0.8845933609813919,0.8845933609183849,0.8845933608656508,0.884593360849899,156659135444.29114
0.8826050338767993,0.8826050338110749,0.8826050337560665,0.8826050337396353,157855624171.7553
0.8805962712423182,0.8805962711737629,0.8805962711163853,0.8805962710992464,159061251116.85922
0.878565791257796,0.8785657911862914,0.8785657911264452,0.878565791108569,160276086073.00668
