atten_sr,energy
0.955039955846074,100000000000.0
0.9542958148952541,100531771008.20506
0.953540034925404,101066369820.46222
0.9527751262579296,101603811474.21275
0.95199883519617,102144111086.86394
0.9512104704635844,102687283856.21307
0.9504162533832251,103233345060.87366
0.9496111378421843,103782310060.70769
0.9487935698553226,104334194297.25644
0.947966674366072,104889013294.17358
0.947128511377473,105446782657.6648
0.9462801762079918,106007518076.92326
0.945422765188436,106571235324.57408
0.9445536359903117,107137950257.1166
0.9436760419031676,107707678815.36911
0.942784197678622,108280437024.91988
0.941883271091893,108856240996.57658
0.9409718362938336,109435106926.8182
0.9400489693775094,110017051098.25325
0.9391143107814551,110602089880.07635
0.9381698113419784,111190239728.52751
0.937214879695896,111781517187.35753
0.9362500069460697,112375938888.29211
0.9352725005983519,112973521551.49829
0.9342856275693688,113574281986.05746
0.9332842141866124,114178237090.43686
0.9322741747534752,114785403852.96344
0.9312510328922264,115395799352.3046
0.9302184303953487,116009440757.94711
0.9291715111888633,116626345330.67871
0.9281146213342141,117246530423.07686
0.9270454751933853,117870013479.9931
0.9259649954171166,118496812039.04712
0.9248724920468949,119126943731.1185
0.9237699425582186,119760426280.84135
0.9226543108197296,120397277507.10567
0.9215265722159626,121037515323.55714
0.9203887191926691,121681157739.09958
0.9192363241443176,122328222858.40439
0.9180725973560014,122978728882.41837
0.9168936983360628,123632694108.87418
0.9157064198481462,124290136932.80801
0.9145050949841801,124951075847.07558
0.9132907224263708,125615529442.87065
0.9120673979517808,126283516410.25113
0.9108299113450045,126955055538.66325
0.9095791443408802,127630165717.4685
0.9083180101315677,128308865936.47807
0.9070413471045614,128991175286.4855
0.9057562356416806,129677112959.802
0.9044554106829297,130366698250.8001
0.9031456356407225,131059950556.45203
0.9018196653309235,131756889376.87914
0.9004849964081936,132457534315.89874
0.8991336054295946,133161905081.57396
0.8977743861937336,133870021486.77132
0.8963994929051252,134581903449.71642
0.8950150419344521,135297570994.55254
0.893616854495057,136017044251.90723
0.8922062543659469,136740343459.45688
0.8907824473003295,137467488962.4943
0.8893442151112642,138198501214.50436
0.8878953370953188,138933400777.73758
0.8864327077856097,139672208323.78693
0.8849581777834933,140414944634.1726
