atten_sr,energy
0.9655104533754074,100000000000.0
0.9648894345149541,100572582218.01648
0.9642602160408666,101148442939.99643
0.9636229628612604,101727600938.0714
0.9629744645727231,102310075091.85715
0.9623166033987918,102895884389.07243
0.9616523487488975,103485047926.15463
0.960974548430694,104077584908.88562
0.9602871232019017,104673514653.01448
0.9595895543309538,105272856584.89052
0.9588874351266615,105875630242.09315
0.9581729904832509,106481855274.07227
0.9574489200854804,107091551442.78522
0.9567172497663727,107704738623.34457
0.9559741716946587,108321436804.66254
0.9552202310204885,108941666090.10599
0.9544559476284294,109565446698.14838
0.9536831020483924,110192798963.0323
0.9529001288516562,110823743335.42882
0.9521060849496668,111458300383.10771
0.9513035945159795,112096490791.60478
0.9504907001999603,112738335364.89754
0.9496677734882395,113383855026.08472
0.948833927648479,114033070818.0652
0.9479901597939561,114686003904.22758
0.9471351704239949,115342675569.1364
0.9462710665480314,116003107219.22972
0.9453952025777481,116667320383.51314
0.944509123325108,117335336714.26546
0.9436124776917308,118007177987.74063
0.9427031271235915,118682866104.88148
0.9417842015102267,119362423092.02986
0.9408548011329053,120045871101.64842
0.9399128788695273,120733232413.03896
0.9389598121366356,121424529433.07253
0.9379965102240495,122119784696.91599
0.9370215717540923,122819020868.77054
0.936036624093055,123522260742.60657
0.9350405920066602,124229527242.91068
0.9340331022401299,124940843425.42953
0.9330151242227177,125656232477.92284
0.9319833677068909,126375717720.92087
0.9309396134261022,127099322608.48105
0.9298826224569494,127827070728.95662
0.9288146479231745,128558985805.76144
0.9277362798283716,129295091698.14757
0.926646983363712,130035412401.97873
0.9255447863600914,130779972050.51686
0.9244323897968303,131528794915.2045
0.9233065194968473,132281905406.46033
0.9221700588712766,133039328074.47057
0.9210199439410486,133801087609.99359
0.9198603391805666,134567208845.1605
0.9186888637675654,135337716754.289
0.9175035182012657,136112636454.69302
0.9163078574374561,136891993207.50601
0.915098482680545,137675812418.49997
0.9138774172669312,138464119638.918
0.912645246030159,139256940566.30295
0.9114014607403582,140054301045.3394
0.9101451894717341,140856227068.69226
0.9088790635169368,141662744777.85593
0.9076014004822357,142473880464.00803
0.9063117508452104,143289660568.8624
0.9050097036941149,144110111685.53586
0.9036948236612714,144935260559.41034
0.9023681136798517,145765134089.0094
0.9010297005623111,146599759326.87033
0.8996801059100707,147439163480.43094
0.8983166452128102,148283373912.91153
0.8969416629049853,149132418144.21176
0.8955546268151559,149986323851.8029
0.8941577441648498,150845118871.63492
0.8927476445147481,151708831199.03912
0.8913252863588642,152577488989.64545
0.8898924165063271,153451120560.2956
0.888445696419388,154329754389.9709
0.8869866974981299,155213419120.71573
0.8855160227489995,156102143558.57632
0.8840339559767955,156995956674.5353
0.8825398254424186,157894887605.45792
0.8810335567497826,158798965655.04385
0.8795146683809868,159708220294.77808
0.8779856267623207,160622681164.89658
0.8764450528622033,161542378075.3474
0.8748926554523293,162467341006.76782
0.8733291148281295,163397600111.4561
0.871754155274647,164333185714.36
0.8701670965126166,165274128314.05972
0.8685677061502916,166220458583.76776
0.8669566798303245,167172207372.32318
0.8653355004498987,168129405705.20276
0.8637022533972754,169092084785.52682
0.8620567686684544,170060275995.08212
0.8604015313163041,171034010895.33902
0.8587342964718381,172013321228.48608
0.8570550337628565,172998238918.45926
0.8553643753725926,173988796071.98804
0.8536648614496191,174985024979.63718
0.8519541899456625,175986958116.86157
0.850232886808792,176994628145.06683
0.8485012145680247,178008067912.66916
0.846759139694119,179027310456.17178
0.8450051984759523,180052389001.23627
0.8432396212524832,181083336963.7712
0.841465538625272,182120187951.01587
0.8396815221276905,183162975762.6416
0.8378856018441976,184211734391.84756
0.8360794272034883,185266498026.47504
0.8342631589324219,186327301050.11572
0.8324390176112442,187394178043.2387
0.8306020653327794,188467163784.31168
0.8287555207764036,189546293250.94064
0.8268997065071871,190631601621.00412
0.8250369801037774,191723124273.806
0.8231626257152139,192820896791.2227
0.8212788517434532,193924954958.8691
0.8193868737822325,195035334767.25928
0.817485637486047,196152072412.98553
0.8155744347403201,197275204299.8931
0.8136540697189052,198404767040.26917
0.8117257360807412,199540797456.03876
0.8097877659693525,200683332579.9595
0.8078412753725148,201832409656.83524
0.8058867011078916,202988066144.7236
0.8039239095511804,204150339716.16382
0.8019536476314966,205319268259.39798
0.7999772944885157,206494889879.61285
0.7979938719582549,207677242900.17538
0.7959999607316892,208866365863.88867
0.7939973604687799,210062297534.2417
0.7919890169396385,211265076896.67963
0.7899717205399766,212474743159.868
0.7879473795083721,213691335756.9776
0.7859173766510344,214914894346.96307
0.7838797982967205,216145458815.86267
0.781835495955774,217383069278.09244
0.7797840381241453,218627766077.75635
0.7777258445935806,219879589789.96426
0.7756608903558055,221138581222.1483
0.7735908595403201,222404781415.40024
0.7715142426124434,223678231645.8023
0.7694311641860135,224958973425.7799
0.7673433829922471,226247048505.44742
0.7652488432181935,227542498873.9767
0.7631473497666516,228845366760.95853
0.7610399197418987,230155694637.78638
0.7589285605641328,231473525219.0337
0.756812800421045,232798901463.8538
0.7546921242101348,234131866577.37256
0.7525662164014019,235472464012.10468
0.7504340997843308,236820737469.36227
0.7482962322199745,238176730900.68735
0.7461558931005533,239540488509.27667
0.744010122788462,240912054751.43057
0.741859820879717,242291474337.99442
0.739707864318209,243678792235.82373
0.7375504023692575,245074053669.24338
0.7353882988100082,246477304121.52463
0.7332219933066584,247888589336.37088
0.7310544909534523,249307955319.40182
0.7288836612899015,250735448339.6612
0.7267093351940461,252171114931.11697
0.7245323912548343,253615001894.18646
0.7223525440713371,255067156297.2537
