E(TeV), E2dndE(TeVcm-2s-1)
0.4134430672032769, 1.239197308732303e-12
0.4412952491826946, 1.1581155761362456e-12
0.49420302253566756, 1.0198573614601992e-12
0.5274957141063649, 9.552156946860952e-13
0.5907382342519876, 8.405665899105003e-13
0.6305341580629359, 7.870735480624395e-13
0.7061301641107836, 6.927951091730596e-13
0.7562902267648314, 6.517171845093614e-13
0.8498745409922027, 5.777064635176679e-13
0.9071275517525715, 5.441082132782088e-13
1.015884895048812, 4.849102452209015e-13
1.088048431709391, 4.566024070458387e-13
1.2143229032175518, 4.0583365778413225e-13
1.3005825137021725, 3.766064410399785e-13
1.4415957628916567, 3.155238040090416e-13
1.5334402167498289, 2.891645116457282e-13
1.6997006309285458, 2.4281761394621666e-13
1.8079890153622586, 2.2188381224560588e-13
1.9903112675584667, 1.8795899203669318e-13
2.1243914251838176, 1.7165399732089803e-13
2.3628182277920624, 1.4806438743222598e-13
2.5306613767891384, 1.3959039850923966e-13
2.8243596337850314, 1.2400927667656328e-13
3.0249884461324292, 1.1689305104899047e-13
3.399304362507551, 1.0355958547011917e-13
3.640774460330485, 9.771186450949842e-14
4.063307922500334, 8.756146407580639e-14
4.36690400828073, 8.432016884557626e-14
4.958045815177154, 7.802782221983457e-14
5.310241347064822, 7.511081399022098e-14
5.967337362932583, 6.95829464523094e-14
6.413195835997221, 6.718829826098933e-14
7.23154377599251, 6.142145990998035e-14
7.745237578247878, 5.773745498147935e-14
8.644118320497427, 5.118063743396944e-14
9.258154568461945, 4.8134274556017666e-14
10.403770385827167, 4.2399075206123426e-14
11.142803783513235, 3.987863924555808e-14
12.435992227957474, 3.543311802333884e-14
13.319384810549, 3.469973151736664e-14
15.174390028865725, 3.384132282431777e-14
16.25230511204783, 3.342417901296044e-14
18.515781332709828, 3.2629050944067675e-14
19.83105265086254, 3.2224237768341025e-14
22.43843025968849, 3.1322787666343646e-14
24.032347535693525, 3.035536938514325e-14
27.192109448249656, 2.8322659629082506e-14
29.12370504201323, 2.737235289839633e-14
32.95287627913835, 2.5535256744363483e-14
35.293688813147774, 2.4660476749921934e-14
39.934086656086784, 2.327551457385726e-14
42.917821246041946, 2.3936829687634962e-14
48.394296860375576, 2.5591208912099922e-14
52.01014861986116, 2.6335605793250327e-14
59.05069111261929, 2.815782924691406e-14
63.245365857471405, 2.903166816604529e-14
69.86249789076048, 3.047742279635514e-14
