atten_LIV_lambda_1,atten_LIV_lambda_2,atten_LIV_lambda_3,atten_LIV_lambda_4,atten_LIV_lambda_5,atten_LIV_lambda_6,atten_LIV_lambda_7,energy
0.9550399558798109,0.9550399558598927,0.9550399558542507,0.9550399558495286,0.9550399558481182,0.9550399558466267,0.9550399558462446,100000000000.0
0.953909493586974,0.9539094935659643,0.9539094935600133,0.9539094935550325,0.9539094935535448,0.9539094935519716,0.9539094935515686,100804658307.51747
0.9527580958495614,0.9527580958274341,0.9527580958211664,0.9527580958159207,0.9527580958143539,0.952758095812697,0.9527580958122724,101615791364.9531
0.9515807876593886,0.9515807876360836,0.9515807876294823,0.9515807876239574,0.951580787622307,0.9515807876205621,0.9515807876201149,102433451271.92082
0.9503808205937998,0.9503808205692249,0.9503808205622639,0.9503808205564379,0.9503808205546976,0.9503808205528576,0.950380820552386,103257690547.25719
0.949157080912085,0.9491570808862085,0.949157080878879,0.9491570808727445,0.9491570808709121,0.9491570808689745,0.949157080868478,104088562132.39638
0.9479112290034784,0.9479112289762022,0.947911228968476,0.9479112289620096,0.9479112289600781,0.9479112289580357,0.9479112289575123,104926119394.76976
0.9466388924802848,0.946638892451571,0.9466388924434377,0.9466388924366305,0.9466388924345971,0.946638892432447,0.9466388924318961,105770416131.23549
0.945346201656833,0.9453462016265848,0.9453462016180169,0.9453462016108459,0.945346201608704,0.945346201606439,0.9453462016058587,106621506571.53127
0.9440281319630949,0.9440281319312473,0.9440281319222263,0.9440281319146763,0.9440281319124211,0.9440281319100363,0.9440281319094254,107479445381.75938
0.9426850320581872,0.942685032024659,0.942685032015162,0.9426850320072134,0.9426850320048392,0.9426850320023287,0.9426850320016854,108344287667.89697
0.9413171915454718,0.9413171915101556,0.9413171915001521,0.9413171914917796,0.9413171914892788,0.9413171914866344,0.9413171914859568,109216088979.33734
0.9399247048866003,0.9399247048494694,0.939924704838952,0.9399247048301493,0.93992470482752,0.9399247048247397,0.9399247048240273,110094905312.45525
0.9385069992515794,0.9385069992125026,0.9385069992014339,0.93850699919217,0.9385069991894027,0.9385069991864767,0.938506999185727,110980793114.20496
0.9370657482284434,0.9370657481873231,0.9370657481756757,0.9370657481659271,0.9370657481630154,0.9370657481599364,0.9370657481591474,111873809285.7472
0.9355994011532841,0.9355994011099918,0.9355994010977291,0.9355994010874658,0.9355994010844001,0.9355994010811585,0.9355994010803279,112774011186.10121
0.934108575527899,0.9341085754824242,0.9341085754695433,0.9341085754587625,0.9341085754555423,0.9341085754521372,0.9341085754512648,113681456635.83086
0.9325903404777275,0.9325903404299023,0.9325903404163556,0.9325903404050175,0.9325903404016309,0.9325903403980499,0.9325903403971323,114596203920.75748
0.931045136149411,0.9310451360991813,0.9310451360849535,0.9310451360730455,0.9310451360694886,0.9310451360657275,0.9310451360647638,115518311795.70552
0.9294745496039845,0.9294745495511212,0.9294745495361475,0.9294745495236151,0.9294745495198716,0.9294745495159134,0.9294745495148992,116447839488.27359
0.9278769453720618,0.9278769453164408,0.927876945300686,0.9278769452874999,0.9278769452835611,0.9278769452793965,0.9278769452783293,117384846702.64061
0.9262537354349435,0.9262537353765681,0.9262537353600331,0.9262537353461939,0.9262537353420602,0.9262537353376892,0.9262537353365692,118329393623.39957
0.9246031310180145,0.9246031309567043,0.9246031309393381,0.9246031309248032,0.9246031309204616,0.9246031309158709,0.9246031309146946,119281540919.42531
0.9229278844174242,0.9229278843529796,0.9229278843347254,0.9229278843194474,0.9229278843148838,0.9229278843100583,0.9229278843088219,120241349747.76831
0.9212246887680294,0.921224688700351,0.9212246886811808,0.9212246886651362,0.9212246886603436,0.9212246886552761,0.9212246886539776,121208881757.58438
0.9194930568274753,0.9194930567563363,0.919493056736186,0.9194930567193209,0.9194930567142834,0.9194930567089566,0.9194930567075917,122184199094.09581
0.9177321095501961,0.9177321094754955,0.9177321094543363,0.9177321094366269,0.9177321094313371,0.9177321094257437,0.9177321094243105,123167364402.58014
0.9159447545085001,0.9159447544301328,0.9159447544079349,0.9159447543893562,0.9159447543838068,0.9159447543779389,0.9159447543764353,124158440832.39581
0.9141287311227002,0.9141287310403925,0.9141287310170785,0.9141287309975656,0.9141287309917372,0.9141287309855742,0.914128730983995,125157492041.03735
0.9122850106912043,0.91228501060482,0.9122850105803513,0.9122850105598721,0.9122850105537549,0.9122850105472866,0.9122850105456293,126164582198.22607
0.9104149571238409,0.910414957033124,0.9104149570074281,0.9104149569859218,0.9104149569794978,0.9104149569727051,0.9104149569709646,127179775990.02881
0.9085153115474821,0.9085153114523442,0.9085153114253961,0.9085153114028416,0.9085153113961045,0.9085153113889809,0.9085153113871556,128203138623.0147
0.9065863432308097,0.9065863431311503,0.9065863431029213,0.906586343079295,0.9065863430722377,0.9065863430647755,0.9065863430628635,129234735828.4424
0.9046287571002389,0.9046287569956646,0.9046287569660435,0.9046287569412519,0.9046287569338466,0.9046287569260163,0.90462875692401,130274633866.4842
0.9026453140077598,0.9026453138979873,0.9026453138668938,0.9026453138408699,0.9026453138330965,0.902645313824877,0.902645313822771,131322899530.47885
0.9006339172003707,0.9006339170852207,0.900633917052604,0.9006339170253053,0.9006339170171511,0.9006339170085289,0.9006339170063197,132379600151.22313
0.8985914565380825,0.898591456417423,0.8985914563832458,0.8985914563546409,0.8985914563460966,0.898591456337062,0.898591456334747,133444803601.29836
0.89652146856795,0.8965214684416368,0.8965214684058581,0.8965214683759128,0.8965214683669681,0.8965214683575101,0.8965214683550867,134518578299.42659
