E(TeV), E2dndE(TeVcm-2s-1)
0.4134430672032769, 5.529626018175029e-13
0.4458613335817331, 5.0957450217943e-13
0.48082153155452884, 4.699335758080386e-13
0.5185229751798205, 4.3242887815475933e-13
0.5591806068253027, 3.987892803207229e-13
0.6030262225913463, 3.6723033335542814e-13
0.6503097938201485, 3.3841567890795317e-13
0.7013008922250353, 3.123173566942182e-13
0.7562902267648314, 2.892850922726198e-13
0.8155913010252707, 2.685385010762116e-13
0.8795422005564735, 2.4909798209298026e-13
0.9485075203563922, 2.314022481178273e-13
1.0228804434891543, 2.149636058231782e-13
1.1030849826888431, 1.9940157638247855e-13
1.1895783977285004, 1.8537143401601042e-13
1.2828538023361653, 1.6983213776927914e-13
1.3834429755204434, 1.5067985751989292e-13
1.491919393333431, 1.3329783455697098e-13
1.6089014983556165, 1.180070205744413e-13
1.7350562255426256, 1.0447024102934618e-13
1.87110280453529, 9.255378962114925e-14
2.017816860110632, 8.193679208942777e-14
2.1760348341511664, 7.253768781793884e-14
2.346658754342888, 6.592578947302913e-14
2.5306613767891384, 6.101946771170265e-14
2.729091731859247, 5.656075604584639e-14
2.9430811048897954, 5.227506314441502e-14
3.1738494858354813, 4.8419968154684185e-14
3.4227125246401773, 4.471847675427179e-14
3.6910890319818974, 4.148113688397927e-14
3.9805090681547513, 3.859061775309795e-14
4.292622666203927, 3.666922120485123e-14
4.629209239045833, 3.504745640100613e-14
4.992187724204986, 3.349741717497717e-14
5.383627524004476, 3.1969248262593624e-14
5.805760303581977, 3.0533063734119595e-14
6.260992713993754, 2.92252959419452e-14
6.751920112943293, 2.791238055753787e-14
7.281341361358699, 2.6291450083151807e-14
7.852274780176776, 2.4228496725930565e-14
8.467975358306061, 2.2360016174591376e-14
9.131953309874419, 2.060554199043619e-14
9.847994086559112, 1.9002591353400827e-14
10.620179959093212, 1.7537128069792506e-14
11.452913290988091, 1.6161080833402925e-14
12.350941637159554, 1.494743316880713e-14
13.319384810549, 1.4401471645762008e-14
14.363764071051259, 1.4120553275734817e-14
15.490033603159993, 1.384511456310375e-14
16.704614461790246, 1.3584956481136324e-14
18.014431179808827, 1.3319965240974023e-14
19.426951245978618, 1.3041099725657644e-14
20.950227678387062, 1.2777391394602927e-14
22.592944936077433, 1.2364700414038468e-14
24.364468430632602, 1.1311675798800464e-14
26.274897919985712, 1.0310649215142265e-14
28.33512508886466, 9.411932189902314e-15
30.556895644146614, 8.579023389008352e-15
32.95287627913835, 7.825530202127042e-15
35.53672688855778, 7.127807732835141e-15
38.3231784459261, 6.511268615059086e-15
41.32811698736334, 6.487559039865345e-15
44.568674180592616, 7.024555058931118e-15
48.06332499550325, 7.611551258170853e-15
51.83199303310864, 8.253618474752274e-15
55.896164113397816, 8.943319478447147e-15
60.27900876966367, 9.676524155754337e-15
65.00551434766984, 1.0485128096306777e-14
69.86249789076048, 1.1275421226564793e-14
